age,sex,s,v,rs,rv,dead,vrs,sv,n
0,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
0,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
1,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
1,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
2,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
2,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
3,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
3,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
4,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
4,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
5,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
5,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
6,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
6,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
7,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
7,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
8,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
8,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
9,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
9,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
10,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
10,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
11,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
11,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
12,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
12,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
13,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
13,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
14,female,0.0,0.0,0.0,0.0,0,0,0.0,1.0
14,male,0.0,0.0,0.0,0.0,0,0,0.0,1.0
15,female,0.017168415863343982,0.05447658186032895,0.0,0.0,0,0,0.001008551454920864,0.9273464508214062
15,male,0.017029242220780873,0.04787180117588701,0.0,0.0,0,0,0.0008726156200125791,0.9342263409833196
16,female,0.027463865322648058,0.07419393994626558,0.005221848699999999,0.0,0,0,0.002273992503444755,0.8908463535276416
16,male,0.027668035257463815,0.06948491821645589,0.005942857099999999,0.0,0,0,0.0021344334910519632,0.8947697559350283
17,female,0.04379680249534382,0.0885536937848099,0.010443697399999998,0.0,0,0,0.004493240450153205,0.852712565869693
17,male,0.04480326814387327,0.08527886589175179,0.011885714199999998,0.0,0,0,0.004414508461965065,0.8536176433024099
18,female,0.06214617572232698,0.10967824546173319,0.015665546100000004,0.0,0,0,0.008313697305729043,0.8041963354102108
18,male,0.06605618816603502,0.1069876998424309,0.017828571300000002,0.0,0,0,0.008636231133518187,0.8004913095580158
19,female,0.08615696603317557,0.13743546166923026,0.0208873948,0.0,0,0,0.015562997751349504,0.7399571797462446
19,male,0.09483684230939993,0.13477786505872888,0.023771428400000003,0.0,0,0,0.01696517906165648,0.7296486851702148
20,female,0.09529607045877746,0.14722647190103488,0.0261092435,0.0,0,0,0.018998655338444678,0.7123695588017429
20,male,0.10608519477101176,0.1455978858416101,0.0297142855,0.0,0,0,0.0212437775358066,0.6973588563515716
21,female,0.10623303692764496,0.14939388572717593,0.047639327499999995,0.0,0,0,0.021969101371327317,0.6747646484738519
21,male,0.11938074059748331,0.14947530943202977,0.05421714259999999,0.0,0,0,0.025280341597677242,0.6516464657728097
22,female,0.10961955185576729,0.14621203958954684,0.0691694115,0.0,0,0,0.022199999408103892,0.652798997646582
22,male,0.12424508251991682,0.1490414015971013,0.07871999969999999,0.0,0,0,0.0264436054801551,0.6215499107028268
23,female,0.1141955774471378,0.13604469263785898,0.0906994955,0.0,0,0,0.021327590299063077,0.6377326441159401
23,male,0.13039699281556177,0.14250535450840948,0.10322285680000001,0.0,0,0,0.026524377011655297,0.5973504188643735
24,female,0.1138483822586073,0.11998005887516924,0.11222957950000001,0.0,0,0,0.018263660041147982,0.6356783193250755
24,male,0.1321726941260785,0.1310729355524956,0.1277257139,0.0,0,0,0.02431688880563656,0.5847117676157894
25,female,0.11370473984387153,0.10195163848302881,0.13375966350000001,0.0,0,0,0.015069245631207595,0.6355147125418921
25,male,0.13401288788492755,0.11922062955855883,0.15222857099999998,0.0,0,0,0.022045876335591883,0.5724920352209217
26,female,0.11582887836411816,0.08310978238853896,0.1448460501,0.0,0,0,0.01220309600310528,0.6440121931442375
26,male,0.13909142948855752,0.10874476410383462,0.1648457139,0.0,0,0,0.020677720295390462,0.5666403722122175
